wl,n,k
1.3675,4.2663,6.0464
1.37,4.2713,6.0521
1.3725,4.2762,6.0579
1.375,4.2811,6.0636
1.3775,4.2861,6.0693
1.38,4.291,6.0751
1.3825,4.2959,6.0808
1.385,4.3008,6.0865
1.3875,4.3057,6.0922
1.39,4.3106,6.0979
1.3925,4.3155,6.1037
1.395,4.3204,6.1094
1.3975,4.3252,6.1151
1.4,4.3301,6.1207
1.4025,4.335,6.1264
1.405,4.3398,6.1321
1.4075,4.3446,6.1378
1.41,4.3495,6.1435
1.4125,4.3543,6.1491
1.415,4.3591,6.1548
1.4175,4.3639,6.1605
1.42,4.3687,6.1661
1.4225,4.3735,6.1718
1.425,4.3783,6.1774
1.4275,4.3831,6.183
1.43,4.3879,6.1887
1.4325,4.3927,6.1943
1.435,4.3974,6.1999
1.4375,4.4022,6.2056
1.44,4.407,6.2112
1.4425,4.4117,6.2168
1.445,4.4164,6.2224
1.4475,4.4212,6.228
1.45,4.4259,6.2336
1.4525,4.4306,6.2392
1.455,4.4353,6.2448
1.4575,4.44,6.2504
1.46,4.4447,6.256
1.4625,4.4494,6.2615
1.465,4.4541,6.2671
1.4675,4.4588,6.2727
1.47,4.4635,6.2783
1.4725,4.4681,6.2838
1.475,4.4728,6.2894
1.4775,4.4775,6.2949
1.48,4.4821,6.3005
1.4825,4.4867,6.306
1.485,4.4914,6.3116
1.4875,4.496,6.3171
1.49,4.5006,6.3226
